3K_DNA_IRIS_UNIQUE_ID	Genetic_Stock_varname	AWPR_REPRO	CUDI_CODE_REPRO	CULT_CODE_REPRO	CUNO_CODE_REPRO	LLT_CODE	PLT_CODE_POST	SDHT_CODE	APANTH_REPRO	APSH	APCO_REV_POST	APCO_REV_REPRO	AWCO_LREV	AWCO_REV	AWDIST	BLANTHPR_VEG	BLANTHDI_VEG	BLPUB_VEG	BLSCO_ANTH_VEG	BLSCO_REV_VEG	CCO_REV_VEG	CUAN_REPRO	ENDO	FLA_EREPRO	FLA_REPRO	INANTH	LIGCO_REV_VEG	LIGSH	LPCO_REV_POST	LPPUB	LSEN	NOANTH	PEX_REPRO	PTH	SCCO_REV	SECOND_BR_REPRO	SLCO_REV	SPKF	SLLT_CODE	AUCO_REV_VEG	BLCO_REV_VEG	CUST_REPRO	INCO_REV_REPRO	LA	NOCO_REV	PA_REPRO	PSH	PTY
IRIS_313-11325	BLM_70::IRGC_43989-3	0.0	1.0	3.0	3.0	2.0	3.0	2.0				20.0		0.0				3.0		60.0	61.0	1.0	1.0		1.0		11.0	3.0	20.0	2.0	7.0		9.0	2.0	10.0	1.0	20.0	4.0	3.0	61.0	63.0	1.0	60.0	1.0		2.0	1.0	5.0
IRIS_313-11326	BR_51-115-4::IRGC_43999-1	0.0	1.0	5.0	2.0	3.0	3.0	2.0				20.0		0.0				3.0		60.0	61.0	1.0	1.0		3.0		11.0	3.0	20.0	4.0	5.0		9.0	1.0	10.0	1.0	20.0	4.0	1.0	61.0	63.0	1.0	60.0	1.0		2.0	1.0	5.0
IRIS_313-11327	JAO'_HAWN_MAE_JAN::IRGC_44022-2	0.0	2.0	7.0	2.0	3.0	3.0	2.0				20.0		0.0				3.0		60.0	61.0	3.0	1.0		7.0		11.0	3.0	20.0	4.0	9.0		7.0	1.0	10.0	1.0	20.0	3.0	3.0	61.0	60.0	3.0	60.0	6.0		2.0	1.0	5.0
IRIS_313-11328	PADI_BURIH::IRGC_44081-1	0.0	2.0	5.0	2.0	3.0	3.0	2.0				20.0		0.0				3.0		60.0	61.0	3.0	1.0		5.0		11.0	3.0	20.0	2.0	9.0		9.0	2.0	10.0	1.0	20.0	4.0	3.0	61.0	63.0	1.0	60.0	2.0		2.0	1.0	5.0
IRIS_313-11329	PADI_JALAI_BELA::IRGC_44084-1	0.0	2.0	6.0	2.0	4.0	3.0	2.0				80.0		0.0				3.0		60.0	61.0	3.0	1.0		5.0		11.0	3.0	42.0	3.0	9.0		9.0	3.0	10.0	1.0	80.0	4.0	3.0	61.0	63.0	3.0	60.0	2.0		2.0	1.0	5.0
IRIS_313-11330	ALAMINOS::IRGC_44268-2	9.0	1.0	5.0	2.0	4.0	4.0	3.0				20.0		20.0				3.0		60.0	61.0	1.0	1.0		5.0		11.0	3.0	20.0	2.0	5.0		9.0	1.0	10.0	1.0	20.0	4.0	3.0	61.0	60.0	3.0	41.0	6.0		2.0	1.0	8.0
IRIS_313-11331	AMPIPIT::IRGC_44272-2	7.0	2.0	5.0	2.0	3.0	3.0	2.0			20.0	20.0		20.0				3.0		60.0	61.0	5.0	1.0		5.0		11.0	3.0	20.0	2.0	7.0		9.0	2.0	10.0	1.0	20.0	4.0	3.0	61.0	60.0	3.0	41.0	2.0	60.0	2.0	1.0	5.0
IRIS_313-11334	DINGRAS::IRGC_44402-1									1.0	20.0	60.0	0.0	0.0		0.0		3.0	0.0	60.0	61.0	3.0		5.0	7.0	0.0	11.0	3.0	20.0	4.0	7.0	0.0	9.0	2.0		1.0	20.0	4.0	3.0	62.0	60.0	7.0	60.0	5.0	60.0	4.0	1.0	5.0
IRIS_313-11272	ARC_14756::IRGC_41736-1	0.0	1.0	4.0	2.0	4.0	3.0	2.0				20.0		0.0				3.0		60.0	61.0	3.0	1.0		5.0		11.0	3.0	20.0	2.0	9.0		3.0	3.0	70.0	1.0	20.0	5.0	3.0	61.0	60.0	3.0	60.0	4.0		2.0	1.0	5.0
IRIS_313-11335	INANUPAN::IRGC_44461-2	0.0	2.0	7.0	2.0	4.0	3.0	2.0				20.0		0.0				3.0		60.0	61.0	3.0	1.0		5.0		11.0	3.0	54.0	5.0	9.0		9.0	2.0	10.0	1.0	80.0	5.0	3.0	61.0	60.0	5.0	60.0	3.0		2.0	1.0	5.0
IRIS_313-11336	IREQUIN::IRGC_44476-2	0.0	2.0	5.0	2.0	3.0	3.0	2.0				20.0		0.0				3.0		60.0	61.0	3.0	1.0		5.0		11.0	3.0	42.0	5.0	7.0		9.0	2.0	10.0	1.0	20.0	5.0	1.0	61.0	60.0	3.0	60.0	3.0		2.0	1.0	5.0
IRIS_313-11337	LAWA_AN::IRGC_44544-2	0.0	2.0	4.0	2.0	4.0	3.0	1.0				80.0		0.0				3.0		60.0	60.0	1.0	1.0		1.0		11.0	3.0	42.0	3.0	9.0		7.0	3.0	10.0	1.0	20.0	5.0	3.0	61.0	60.0	1.0	60.0	3.0		2.0	1.0	3.0
IRIS_313-11338	LOBANG_(WHITE)::IRGC_44548-2	0.0	2.0	5.0	2.0	4.0	3.0	2.0				20.0		0.0				3.0		60.0	80.0	3.0	2.0		5.0		11.0	3.0	20.0	4.0	9.0		9.0	2.0	70.0	1.0	20.0	4.0	3.0	80.0	60.0	3.0	60.0	3.0		2.0	1.0	5.0
IRIS_313-11339	MILAGROSA::IRGC_44634-2									1.0	70.0	60.0	70.0	20.0	3.0	0.0		3.0	0.0	60.0	61.0	5.0		5.0	7.0	0.0	62.0	3.0	54.0	4.0	9.0	0.0	9.0	2.0		1.0	20.0	4.0	3.0	62.0	60.0	5.0	60.0	5.0	60.0	4.0	1.0	5.0
IRIS_313-11340	MINANOK::IRGC_44637-2	0.0	2.0	5.0	2.0	3.0	3.0	2.0				87.0		0.0				3.0		60.0	61.0	3.0	1.0		5.0		11.0	3.0	80.0	2.0	9.0		7.0	2.0	70.0	1.0	80.0	4.0	3.0	61.0	63.0	5.0	60.0	4.0		2.0	1.0	5.0
IRIS_313-11341	MINDANAO::IRGC_44642-2	0.0	2.0	7.0	2.0	4.0	3.0	2.0				70.0		0.0				3.0		84.0	80.0	3.0	1.0		5.0		11.0	3.0	20.0	4.0	9.0		9.0	3.0	10.0	1.0	20.0	4.0	3.0	80.0	60.0	3.0	60.0	5.0		2.0	1.0	9.0
IRIS_313-11342	PODAO::IRGC_44701-1	1.0	2.0	4.0	2.0	4.0	4.0	1.0				70.0		20.0				3.0		60.0	61.0	3.0	1.0		7.0		11.0	3.0	20.0	4.0	9.0		7.0	1.0	10.0	1.0	20.0	4.0	3.0	61.0	60.0	3.0	60.0	3.0		2.0	1.0	5.0
IRIS_313-11343	PURTOK_(MALAGKIT)::IRGC_44707-2									2.0	70.0	80.0	70.0	80.0	2.0	1.0	85.0	3.0	3.0	84.0	80.0	5.0		3.0	7.0	0.0	11.0	3.0	42.0	4.0	7.0	0.0	9.0	1.0		1.0	20.0	4.0	3.0	80.0	60.0	3.0	60.0	5.0	60.0	4.0	1.0	5.0
IRIS_313-11344	SAMON::IRGC_44735-2	0.0	2.0	6.0	2.0	3.0	3.0	2.0			20.0	20.0		0.0				3.0		60.0	61.0	5.0	1.0		3.0		11.0	3.0	53.0	4.0	5.0		7.0	3.0	70.0	1.0	20.0	4.0	3.0	61.0	63.0	9.0	41.0	3.0	60.0	2.0	1.0	5.0
